time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,14,11,0,0
2026-09-11 00:00:00+00:00,3,3,1,1
2026-09-12 00:00:00+00:00,22,13,0,0
2026-09-13 00:00:00+00:00,9,7,0,0
2026-09-14 00:00:00+00:00,10,7,2,1
2026-09-15 00:00:00+00:00,7,5,5,1
2026-09-16 00:00:00+00:00,12,10,0,0
2026-09-17 00:00:00+00:00,15,7,0,0
2026-09-18 00:00:00+00:00,17,10,0,0
2026-09-19 00:00:00+00:00,26,18,0,0
2026-09-20 00:00:00+00:00,20,14,0,0
2026-09-21 00:00:00+00:00,18,11,8,2
2026-09-22 00:00:00+00:00,7,5,5,1
2026-09-23 00:00:00+00:00,10,7,3,2
