time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,0,0,19,2
2026-07-29 00:00:00+00:00,0,0,0,0
2026-07-30 00:00:00+00:00,0,0,1,1
2026-07-31 00:00:00+00:00,0,0,0,0
2026-08-01 00:00:00+00:00,0,0,0,0
2026-08-02 00:00:00+00:00,1,1,1,1
2026-08-03 00:00:00+00:00,0,0,0,0
2026-08-04 00:00:00+00:00,0,0,0,0
2026-08-05 00:00:00+00:00,0,0,0,0
2026-08-06 00:00:00+00:00,0,0,0,0
2026-08-07 00:00:00+00:00,0,0,0,0
2026-08-08 00:00:00+00:00,0,0,0,0
2026-08-09 00:00:00+00:00,0,0,0,0
2026-08-10 00:00:00+00:00,0,0,0,0
